sku,attribute_set_code,product_type,categories,product_websites,name,description,short_description,price,special_price,special_from_date,special_to_date,weight,status,visibility,tax_class_name,qty,is_in_stock,url_key,meta_title,meta_description,meta_keywords,manufacturer,image,small_image,thumbnail,additional_images
2220,Default,simple,Categorias/Carcaças/Carcaça Painel Inferior,base,RETROVISOR BIZ 100 CR. REDONDO UNIVERSAL ,"Retrovisor possui acabamento com injeção interna, em ABS
Possuem a articulação em esfera de aço e conformação a frio,
Ajuste com porca e parafuso,
Garantia de cromeação
Fixação do espelho por contração.

",,25.5400,,,,0.48000000,1,"Catálogo, Pesquisa",Taxable Goods,1000,1,,,,,AWA Motos,catalog/products/10751.jpg,catalog/products/10751.jpg,catalog/products/10751.jpg,"catalog/products/10750.jpg,catalog/products/10751.jpg,catalog/products/10752.jpg,catalog/products/11040.jpg"
2246,Default,simple,Categorias/Estribos,base,RETROVISOR CB 300 MODELO 11 PADRAO YAMAHA DIR/ESQ CROMADO,,,41.0000,,,,0.60000000,1,"Catálogo, Pesquisa",Taxable Goods,1000,1,,,,,AWA Motos,catalog/products/11967.jpg,catalog/products/11967.jpg,catalog/products/11967.jpg,catalog/products/11967.jpg
501,Default,simple,Categorias/Estribos,base,RETROVISOR. TITAN 2000 03 D E Awa Motos,"Acabamento com injeção interna,
Articulação em esfera de aço e conformação a frio,
Ajuste com porca e parafuso,
Pintura eletrostática,
Fixação do espelho por contração.",,7.7600,,,,0.45000000,1,"Catálogo, Pesquisa",Taxable Goods,1000,1,,,,,AWA Motos,catalog/products/10798.jpg,catalog/products/10798.jpg,catalog/products/10798.jpg,"catalog/products/10798.jpg,catalog/products/10799.jpg,catalog/products/10800.jpg"
624,Default,simple,Categorias/Retrovisores/Linha Original,base,RETROVISOR BIZ 18/20 PADRAO HONDA D/E ,"Acabamento com injeção interna,
Articulação em esfera de aço e conformação a frio,
Ajuste com porca e parafuso,
Pintura eletrostática.
Fixação do espelho por contração.",,0.01,,,,0.40000000,1,"Catálogo, Pesquisa",Taxable Goods,1000,1,,,,,AWA Motos,catalog/products/11497.jpg,catalog/products/11497.jpg,catalog/products/11497.jpg,"catalog/products/11497.jpg,catalog/products/11498.jpg,catalog/products/11499.jpg"
557,Default,simple,Categorias/Carcaças/Carcaça Painel Inferior,base,RETROVISOR XL H. CURTA DT 200 H CURTA PRETO,"Acabamento com injeção interna,
Articulação em esfera de aço e conformação a frio,
Ajuste com porca e parafuso,
Pintura eletrostática,
Fixação do espelho por contração.",,8.1000,,,,0.29000000,1,"Catálogo, Pesquisa",Taxable Goods,1000,1,,,,,AWA Motos,catalog/products/10920.jpg,catalog/products/10920.jpg,catalog/products/10920.jpg,"catalog/products/10920.jpg,catalog/products/10921.jpg,catalog/products/10922.jpg"
549,Default,simple,Categorias/Carcaças/Carcaça Painel Inferior,base,RETROVISOR MINI YBR D/E  HONDA,"Acabamento com injeção interna,
Articulação em esfera de aço e conformação a frio,
Ajuste com porca e parafuso,
Pintura eletrostática,
Fixação do espelho por contração.",,7.7500,,,,0.27000000,1,"Catálogo, Pesquisa",Taxable Goods,1000,1,,,,,AWA Motos,catalog/products/10912.jpg,catalog/products/10912.jpg,catalog/products/10912.jpg,"catalog/products/10912.jpg,catalog/products/10913.jpg,catalog/products/10914.jpg"
617 PT,Default,simple,Categorias/Carcaças/Carcaça Painel Inferior,base,RETROVISOR ARROW CAPA CROMADA HASTE DE ALUMINIO PRETA UNIVERSAL DIR/ESQ,"Retrovisor possui acabamento com injeção interna,
Retrovisores que possuem a articulação em esfera, nossa conformação de aço é a frio,
Temos retrovisores com conformação por mola,
Pintura eletrostática,
Ajuste com porca e parafuso,
Fixação do espelho por contração

",,0.01,,,,0.28000000,1,"Catálogo, Pesquisa",Taxable Goods,1000,1,,,,,AWA Motos,catalog/products/10607.jpg,catalog/products/10607.jpg,catalog/products/10607.jpg,"catalog/products/10607.jpg,catalog/products/10608.jpg,catalog/products/11813.jpg"
3030,Default,simple,Categorias/Protetor De Carenagem,base,PROTETOR DE CARENAGEM TITAN 150 MOD. 14/15 / FAN 160 MOD. 16/22 - PRETO FOSCO,,,0.01,,,,3.50000000,1,"Catálogo, Pesquisa",Taxable Goods,1000,1,,,,,AWA Motos,catalog/products/11374.jpg,catalog/products/11374.jpg,catalog/products/11374.jpg,catalog/products/11374.jpg
2305,Default,simple,Categorias/Guidões,base,GUIDAO BROS NXR 125/150 MOD. 03/08 CROMADO,,,14.7500,,,,0.78000000,1,"Catálogo, Pesquisa",Taxable Goods,1000,1,,,,,AWA Motos,catalog/products/10366.jpg,catalog/products/10366.jpg,catalog/products/10366.jpg,catalog/products/10366.jpg
340 DR,Default,simple,Categorias/Bauletos/Bauletos 34 L,base,BAULETO AWA MODELO PROOS 34 LITROS DOURADO,"Confeccionado com material de alta resistência;
2 Refletores para melhor visualização á noite;
Botão para remoção rápida do Bauleto;

Base de fixação em nylon;
Fechadura em aço;
Exclusivo fechamento automático , assim você fecha o bauleto sem precisar da chave para trancar. Abaixo, fechou. 
Serve para todos os modelos de motos que utilizem bagageiro;
Bauleto com o kit de fixação e 2 Chaves;
Diversas cores: Azul, Amarelo, Branco, Dourado, Prata, Preto, Rosa e Vermelho.",,0.01,,,,3.14000000,1,"Catálogo, Pesquisa",Taxable Goods,1000,1,,,,,AWA Motos,catalog/products/10231.jpg,catalog/products/10231.jpg,catalog/products/10231.jpg,"catalog/products/10231.jpg,catalog/products/10232.jpg,catalog/products/10233.jpg"
4017 LA,Default,simple,Categorias/Lentes/Lente Dos Piscas,base,LENTE / MINI PISCA TITAN 2000 FRISADO ( LA ) ,"Lente para pisca , feitas em acrílico, não descasca",,0.5300,,,,0.01000000,1,"Catálogo, Pesquisa",Taxable Goods,1000,1,,,,,AWA Motos,catalog/products/10455.jpg,catalog/products/10455.jpg,catalog/products/10455.jpg,catalog/products/10455.jpg
2345,Default,simple,Categorias/Guidões,base,GUIDAO FAZER 250 2005/2017 MOD. ORIG.  CROMADO,"GUIDON FAZER 250 MODELO ORIGINAL POLIDO CROMADO

Padrão montadora:
Tubo de 2MM, niquelado e cromado para garantir mais fixação, recartilhamento e furação original, lixado e polido.
",,14.7500,,,,0.84000000,1,"Catálogo, Pesquisa",Taxable Goods,1000,1,,,,,AWA Motos,catalog/products/10383.jpg,catalog/products/10383.jpg,catalog/products/10383.jpg,catalog/products/10383.jpg
69,Default,simple,Categorias/Borrachas,base,BUCHA DA COROA TITAN 150 (JG C/ 4 PÇS),BORRACHA DA COROA TITAN (JOGO COM 4 PECAS),,7.6300,,,,0.21000000,1,"Catálogo, Pesquisa",Taxable Goods,1000,1,,,,,AWA Motos,catalog/products/10397.jpg,catalog/products/10397.jpg,catalog/products/10397.jpg,catalog/products/10397.jpg
2015,Default,simple,Categorias/Carcaças,base,CARCACA INFERIOR CG TITAN 125 MOD. 00/04 - PRETA,Carcaça padrão original com encaixe perfeito nas peças originais.,,3.6600,,,,0.10000000,1,"Catálogo, Pesquisa",Taxable Goods,1000,1,,,,,AWA Motos,catalog/products/10315.jpg,catalog/products/10315.jpg,catalog/products/10315.jpg,catalog/products/10315.jpg
506,Default,simple,Categorias/Retrovisores,base,RETROVISOR YBR FACTOR 125 MOD. 08/16 ROSCA HONDA,"Acabamento com injeção interna,
Articulação por mola
Pintura eletrostática,
Fixação do espelho por contração.",,12.6000,,,,0.40000000,1,"Catálogo, Pesquisa",Taxable Goods,1000,1,,,,,AWA Motos,catalog/products/10823.jpg,catalog/products/10823.jpg,catalog/products/10823.jpg,"catalog/products/10823.jpg,catalog/products/10824.jpg,catalog/products/10825.jpg"
508,Default,simple,Categorias/Retrovisores,base,RETROVISOR BROS ATE 2008 D/E HONDA  ,"Acabamento com injeção interna,
Articulação em esfera de aço e conformação a frio,
Ajuste com porca e parafuso,
Pintura eletrostática,
Fixação do espelho por contração.",,11.3300,,,,0.43000000,1,"Catálogo, Pesquisa",Taxable Goods,1000,1,,,,,AWA Motos,catalog/products/10835.jpg,catalog/products/10835.jpg,catalog/products/10835.jpg,"catalog/products/10835.jpg,catalog/products/10836.jpg,catalog/products/10837.jpg"
511,Default,simple,Categorias/Retrovisores,base,RETROVISOR DT 200 H. PRETA ROSCA PADRÃO HONDA,"Acabamento com injeção interna,
Articulação em esfera de aço e conformação a frio,
Ajuste com porca e parafuso,
Pintura eletrostática,
Fixação do espelho por contração.

",,11.4000,,,,0.41000000,1,"Catálogo, Pesquisa",Taxable Goods,1000,1,,,,,AWA Motos,catalog/products/11331.jpg,catalog/products/11331.jpg,catalog/products/11331.jpg,"catalog/products/11331.jpg,catalog/products/11332.jpg,catalog/products/11821.jpg"
512,Default,simple,Categorias/Retrovisores,base,RETROVISOR DT 200 H. PRETA ROSCA PADRÃO YAM.,,,11.4000,,,,0.41000000,1,"Catálogo, Pesquisa",Taxable Goods,1000,1,,,,,AWA Motos,catalog/products/10853.jpg,catalog/products/10853.jpg,catalog/products/10853.jpg,"catalog/products/10853.jpg,catalog/products/10854.jpg,catalog/products/10855.jpg"
515,Default,simple,Categorias/Retrovisores,base,RETROVISOR FAZER MOD. ORIG. ROSCA PADRÃO HONDA D/E,"Acabamento com injeção interna,
Articulação por mola
Pintura eletrostática,
Fixação do espelho por contração.",,15.3200,,,,0.48000000,1,"Catálogo, Pesquisa",Taxable Goods,1000,1,,,,,AWA Motos,catalog/products/11577.jpg,catalog/products/11577.jpg,catalog/products/11577.jpg,"catalog/products/11577.jpg,catalog/products/11578.jpg,catalog/products/11822.jpg"
513,Default,simple,Categorias/Retrovisores,base,RETROVISOR FAZER MOD. ORIG. YAM. D/E,"Acabamento com injeção interna,
Articulação por mola
Pintura eletrostática,
Fixação do espelho por contração.",,11.0800,,,,0.48000000,1,"Catálogo, Pesquisa",Taxable Goods,1000,1,,,,,AWA Motos,catalog/products/10859.jpg,catalog/products/10859.jpg,catalog/products/10859.jpg,"catalog/products/10859.jpg,catalog/products/10860.jpg,catalog/products/10861.jpg"
503,Default,simple,Categorias/Retrovisores,base,RETROVISOR BIZ 100 MOD. REDONDO UNV.,"Acabamento com injeção interna,
Articulação em esfera de aço e conformação a frio,
Ajuste com porca e parafuso,
Pintura eletrostática,
Fixação do espelho por contração.",,9.9200,,,,0.40000000,1,"Catálogo, Pesquisa",Taxable Goods,1000,1,,,,,AWA Motos,catalog/products/10808.jpg,catalog/products/10808.jpg,catalog/products/10808.jpg,"catalog/products/10808.jpg,catalog/products/10809.jpg,catalog/products/10810.jpg"
509,Default,simple,Categorias/Retrovisores,base,RETROVISOR TWISTER  CBX 250/300 PRETO DIR/ESQ (STRADA),"Acabamento com injeção interna,
Articulação por mola
Pintura eletrostática,
Fixação do espelho por contração.

",,24.4500,,,,0.57000000,1,"Catálogo, Pesquisa",Taxable Goods,1000,1,,,,,AWA Motos,catalog/products/10841.jpg,catalog/products/10841.jpg,catalog/products/10841.jpg,"catalog/products/10841.jpg,catalog/products/10842.jpg,catalog/products/10843.jpg"
504,Default,simple,Categorias/Retrovisores,base,RETROVISOR BIZ 125 / BROSS 09 / POP D/E,"Acabamento com injeção interna,
Articulação em esfera de aço e conformação a frio,
Ajuste com porca e parafuso,
Pintura eletrostática,
Fixação do espelho por contração.

",,9.6500,,,,0.40000000,1,"Catálogo, Pesquisa",Taxable Goods,1000,1,,,,,AWA Motos,catalog/products/10814.jpg,catalog/products/10814.jpg,catalog/products/10814.jpg,"catalog/products/10814.jpg,catalog/products/10815.jpg,catalog/products/10816.jpg,catalog/products/11007.jpg"
210,Default,simple,Categorias/Retrovisores,base,RETROVISOR SUZUKI BURGMAN D/E,"Acabamento com injeção interna,
Articulação por mola
Pintura eletrostática,
Fixação do espelho por contração.",,17.8000,,,,0.42000000,1,"Catálogo, Pesquisa",Taxable Goods,1000,1,,,,,AWA Motos,catalog/products/10719.jpg,catalog/products/10719.jpg,catalog/products/10719.jpg,"catalog/products/10719.jpg,catalog/products/10720.jpg,catalog/products/11823.jpg"
502,Default,simple,Categorias/Retrovisores,base,RETROVISOR TITAN 150 MOD. 08/13 PADRAO HONDA DIR/ESQ,"Acabamento com injeção interna,
Articulação em esfera de aço e conformação a frio,
Ajuste com porca e parafuso,
Pintura eletrostática,
Fixação do espelho por contração.
",,10.5400,,,,0.47000000,1,"Catálogo, Pesquisa",Taxable Goods,1000,1,,,,,AWA Motos,catalog/products/10803.jpg,catalog/products/10803.jpg,catalog/products/10803.jpg,"catalog/products/10803.jpg,catalog/products/10804.jpg,catalog/products/11824.jpg"
587,Default,simple,Categorias/Retrovisores,base,RETROVISOR XL H. CURTA (DT 200 H.CURTA PRETO) YAM.,"Acabamento com injeção interna,
Articulação em esfera de aço e conformação a frio,
Ajuste com porca e parafuso,
Pintura eletrostática,
Fixação do espelho por contração.",,8.1000,,,,0.29000000,1,"Catálogo, Pesquisa",Taxable Goods,1000,1,,,,,AWA Motos,catalog/products/11631.jpg,catalog/products/11631.jpg,catalog/products/11631.jpg,"catalog/products/11630.jpg,catalog/products/11631.jpg"
510,Default,simple,Categorias/Retrovisores,base,RETROVISOR XRE 300 MOD. ORIGINAL,"Acabamento com injeção interna,
Articulação em esfera de aço e conformação a frio,
Ajuste com porca e parafuso,
Pintura eletrostática,
Fixação do espelho por contração.",,12.6600,,,,0.42000000,1,"Catálogo, Pesquisa",Taxable Goods,1000,1,,,,,AWA Motos,catalog/products/10847.jpg,catalog/products/10847.jpg,catalog/products/10847.jpg,"catalog/products/10847.jpg,catalog/products/10848.jpg,catalog/products/10849.jpg"
595,Default,simple,Categorias/Retrovisores,base,RETROVISOR XRE 300 MOD. ORIGINAL - Rosca M8,"Acabamento com injeção interna,
Articulação em esfera de aço e conformação a frio,
Ajuste com porca e parafuso,
Pintura eletrostática,
Fixação do espelho por contração.

",,14.0000,,,,0.41000000,1,"Catálogo, Pesquisa",Taxable Goods,1000,1,,,,,AWA Motos,catalog/products/10977.jpg,catalog/products/10977.jpg,catalog/products/10977.jpg,"catalog/products/10977.jpg,catalog/products/10978.jpg,catalog/products/10979.jpg"
543,Default,simple,Categorias/Retrovisores,base,RETROVISOR MINI REDONDO ARTICULADO DIR/ESQ PRETO,"Acabamento com injeção interna,
Articulação em esfera de aço e conformação a frio,
Ajuste com porca e parafuso,
Pintura eletrostática,
Fixação do espelho por contração.",,9.9500,,,,0.29000000,1,"Catálogo, Pesquisa",Taxable Goods,1000,1,,,,,AWA Motos,catalog/products/10905.jpg,catalog/products/10905.jpg,catalog/products/10905.jpg,"catalog/products/10905.jpg,catalog/products/10906.jpg,catalog/products/10907.jpg"
505,Default,simple,Categorias/Retrovisores,base,RETROVISOR YBR FACTOR 125 MOD. 08/16 ROSCA YAMAHA,"Acabamento com injeção interna,
Articulação por mola
Pintura eletrostática,
Fixação do espelho por contração.

",,12.6600,,,,0.41000000,1,"Catálogo, Pesquisa",Taxable Goods,1000,1,,,,,AWA Motos,catalog/products/11328.jpg,catalog/products/11328.jpg,catalog/products/11328.jpg,"catalog/products/11328.jpg,catalog/products/11825.jpg,catalog/products/11826.jpg"
588,Default,simple,Categorias/Retrovisores,base,RETROVISOR YBR MOD. ORIGINAL D/E - ARTICULADO POR ESFERA YAMAHA,"Acabamento com injeção interna,
Articulação em esfera de aço e conformação a frio,
Ajuste com porca e parafuso,
Pintura eletrostática,
Fixação do espelho por contração.

",,9.4000,,,,0.42000000,1,"Catálogo, Pesquisa",Taxable Goods,1000,1,,,,,AWA Motos,catalog/products/10969.jpg,catalog/products/10969.jpg,catalog/products/10969.jpg,"catalog/products/10969.jpg,catalog/products/10970.jpg,catalog/products/11827.jpg"
517,Default,simple,Categorias/Retrovisores,base,RETROVISOR LEAD 110 HONDA - ROSCA M8 INVERSA ,"Acabamento com injeção interna,
Articulação por mola
Pintura eletrostática,
Fixação do espelho por contração.",,0.01,,,,0.42000000,1,"Catálogo, Pesquisa",Taxable Goods,1000,1,,,,,AWA Motos,catalog/products/10870.jpg,catalog/products/10870.jpg,catalog/products/10870.jpg,"catalog/products/10870.jpg,catalog/products/10871.jpg,catalog/products/10872.jpg"
514,Default,simple,Categorias/Retrovisores,base,RETROVISOR FAZER 2015 MOD. ORIGINAL D/E,"Acabamento com injeção interna,
Articulação em esfera de aço e conformação a frio,
Ajuste com porca e parafuso,
Pintura eletrostática,
Fixação do espelho por contração.",,0.01,,,,0.40000000,1,"Catálogo, Pesquisa",Taxable Goods,1000,1,,,,,AWA Motos,catalog/products/10865.jpg,catalog/products/10865.jpg,catalog/products/10865.jpg,"catalog/products/10865.jpg,catalog/products/10866.jpg,catalog/products/10867.jpg"
518,Default,simple,Categorias/Retrovisores,base,RETROVISOR FAZER 2015 MOD. ORIGINAL D/E ROSCA HONDA,"Acabamento com injeção interna,
Articulação em esfera de aço e conformação a frio,
Ajuste com porca e parafuso,
Pintura eletrostática,
Fixação do espelho por contração.",,0.01,,,,0.40000000,1,"Catálogo, Pesquisa",Taxable Goods,1000,1,,,,,AWA Motos,catalog/products/11579.jpg,catalog/products/11579.jpg,catalog/products/11579.jpg,"catalog/products/11579.jpg,catalog/products/11580.jpg,catalog/products/11828.jpg"
597,Default,simple,Categorias/Retrovisores,base,RETROVISOR TWISTER 2016 MODELO ORIGINAL D/E,"Acabamento com injeção interna,
Articulação em esfera de aço e conformação a frio,
Ajuste com porca e parafuso,
Pintura eletrostática,
Fixação do espelho por contração",,0.01,,,,0.62000000,1,"Catálogo, Pesquisa",Taxable Goods,1000,1,,,,,AWA Motos,catalog/products/10980.jpg,catalog/products/10980.jpg,catalog/products/10980.jpg,"catalog/products/10980.jpg,catalog/products/10981.jpg,catalog/products/10982.jpg"
525,Default,simple,Categorias/Retrovisores,base,RETROVISOR XT 660 ROTATIVO PADRÃO HONDA DIR/ESQ,"Acabamento com injeção interna,
Articulação por mola
Pintura eletrostática,
Fixação do espelho por contração.

",,0.01,,,,0.53000000,1,"Catálogo, Pesquisa",Taxable Goods,1000,1,,,,,AWA Motos,catalog/products/11583.jpg,catalog/products/11583.jpg,catalog/products/11583.jpg,"catalog/products/11583.jpg,catalog/products/11584.jpg,catalog/products/11829.jpg"
526,Default,simple,Categorias/Retrovisores,base,RETROVISOR XT 660 ROTATIVO PADRÃO YAM. DIR/ESQ,"Acabamento com injeção interna,
Articulação por mola
Pintura eletrostática,
Fixação do espelho por contração.

",,0.01,,,,0.53000000,1,"Catálogo, Pesquisa",Taxable Goods,1000,1,,,,,AWA Motos,catalog/products/10887.jpg,catalog/products/10887.jpg,catalog/products/10887.jpg,"catalog/products/10887.jpg,catalog/products/10888.jpg,catalog/products/10889.jpg"
576,Default,simple,Categorias/Retrovisores,base,RETROVISOR TITAN 125/150 / 2014 DIR/ESQ,"Acabamento com injeção interna,
Articulação em esfera de aço e conformação a frio,
Ajuste com porca e parafuso,
Pintura eletrostática,
Fixação do espelho por contração.",,12.0000,,,,0.45000000,1,"Catálogo, Pesquisa",Taxable Goods,1000,1,,,,,AWA Motos,catalog/products/10952.jpg,catalog/products/10952.jpg,catalog/products/10952.jpg,"catalog/products/10952.jpg,catalog/products/10953.jpg,catalog/products/11830.jpg"
520,Default,simple,Categorias/Retrovisores,base,RETROVISOR CB 300 MOD. 11/15 PRETO DIR/ESQ,"Retrovisor possui acabamento com injeção interna,
Retrovisores que possuem a articulação em esfera, nossa conformação de aço é a frio,
Temos retrovisores com conformação por mola,
Pintura eletrostática,
Ajuste com porca e parafuso,
Fixação do espelho por contração.

",,0.01,,,,0.57000000,1,"Catálogo, Pesquisa",Taxable Goods,1000,1,,,,,AWA Motos,catalog/products/10876.jpg,catalog/products/10876.jpg,catalog/products/10876.jpg,"catalog/products/10876.jpg,catalog/products/10877.jpg,catalog/products/10878.jpg"
2245,Default,simple,Categorias/Retrovisores,base,RETROVISOR CB 300 CR. MODELO 11 PADRAO HONDA D/E,"Retrovisor possui acabamento com injeção interna, em ABS
Possuem a articulação em esfera de aço e conformação a frio,
Ajuste com porca e parafuso,
Garantia de cromeação
",,0.01,,,,0.66000000,1,"Catálogo, Pesquisa",Taxable Goods,1000,1,,,,,AWA Motos,catalog/products/11392.jpg,catalog/products/11392.jpg,catalog/products/11392.jpg,"catalog/products/11392.jpg,catalog/products/11393.jpg,catalog/products/11831.jpg"
615,Default,simple,Categorias/Retrovisores,base,RETROVISOR CG 125 MI TURUNA PADRAO HONDA DIR/ESQ,"Retrovisor possui acabamento com injeção interna,
Retrovisores que possuem a articulação em esfera, nossa conformação de aço é a frio,
Temos retrovisores com conformação por mola,
Pintura eletrostática,
Ajuste com porca e parafuso,
Fixação do espelho por contração",,0.01,,,,0.41000000,1,"Catálogo, Pesquisa",Taxable Goods,1000,1,,,,,AWA Motos,catalog/products/11005.jpg,catalog/products/11005.jpg,catalog/products/11005.jpg,"catalog/products/11005.jpg,catalog/products/11006.jpg,catalog/products/11832.jpg"
616,Default,simple,Categorias/Retrovisores,base,RETROVISOR CG 125 MI TURUNA PADRAO YAM. DIR/ESQ,"Retrovisor possui acabamento com injeção interna,
Retrovisores que possuem a articulação em esfera, nossa conformação de aço é a frio,
Temos retrovisores com conformação por mola,
Pintura eletrostática,
Ajuste com porca e parafuso,
Fixação do espelho por contração",,0.01,,,,0.40000000,1,"Catálogo, Pesquisa",Taxable Goods,1000,1,,,,,AWA Motos,catalog/products/11508.jpg,catalog/products/11508.jpg,catalog/products/11508.jpg,"catalog/products/11508.jpg,catalog/products/11509.jpg,catalog/products/11833.jpg"
623,Default,simple,Categorias/Retrovisores,base,RETROVISOR CG 160 TITAN MOD. 18/25 PADRAO HONDA DIR/ESQ (ROSCA ESQUERDA),"Acabamento com injeção interna,
Articulação em esfera de aço e conformação a frio,
Ajuste com porca e parafuso,
Pintura eletrostática,
Fixação do espelho por contração.",,0.01,,,,0.45000000,1,"Catálogo, Pesquisa",Taxable Goods,1000,1,,,,,AWA Motos,catalog/products/11502.jpg,catalog/products/11502.jpg,catalog/products/11502.jpg,"catalog/products/11502.jpg,catalog/products/11503.jpg,catalog/products/11834.jpg"
623 DIR,Default,simple,Categorias/Retrovisores,base,RETROVISOR TITAN MODELO 2018 PADRAO HONDA DIR (ROSCA ESQUERDA) ,,,0.01,,,,0.23000000,1,"Catálogo, Pesquisa",Taxable Goods,1000,1,,,,,AWA Motos,catalog/products/11837.jpg,catalog/products/11837.jpg,catalog/products/11837.jpg,"catalog/products/11837.jpg,catalog/products/11838.jpg"
623 ESQ,Default,simple,Categorias/Retrovisores,base,RETROVISOR TITAN MODELO 2018 PADRAO HONDA ESQ (ROSCA ESQUERDA) ,,,0.01,,,,0.22000000,1,"Catálogo, Pesquisa",Taxable Goods,1000,1,,,,,AWA Motos,catalog/products/11835.jpg,catalog/products/11835.jpg,catalog/products/11835.jpg,"catalog/products/11835.jpg,catalog/products/11836.jpg"
624 DIR,Default,simple,Categorias/Retrovisores,base,RETROVISOR BIZ 125 DIREITO MOD 2018 PADRÃO HONDA (ROSCA ESQUERDA),,,0.01,,,,0.20000000,1,"Catálogo, Pesquisa",Taxable Goods,1000,1,,,,,AWA Motos,catalog/products/11500.jpg,catalog/products/11500.jpg,catalog/products/11500.jpg,"catalog/products/11500.jpg,catalog/products/11839.jpg"
624 ESQ,Default,simple,Categorias/Retrovisores,base,RETROVISOR BIZ 125 ESQUERDA MOD 2018 PADRÃO HONDA (ROSCA ESQUERDA),,,0.01,,,,0.20000000,1,"Catálogo, Pesquisa",Taxable Goods,1000,1,,,,,AWA Motos,catalog/products/11501.jpg,catalog/products/11501.jpg,catalog/products/11501.jpg,"catalog/products/11501.jpg,catalog/products/11840.jpg"
625,Default,simple,Categorias/Retrovisores,base,RETROVISOR BMW GS 650/800 PADRAO HONDA DIR/ESQ,"Acabamento com injeção interna,
Retrovisores com articulação por mola,
Pintura eletrostática,
Fixação do espelho por contração , lente plana.
",,0.01,,,,0.54000000,1,"Catálogo, Pesquisa",Taxable Goods,1000,1,,,,,AWA Motos,catalog/products/11010.jpg,catalog/products/11010.jpg,catalog/products/11010.jpg,"catalog/products/11010.jpg,catalog/products/11011.jpg,catalog/products/11841.jpg"
626,Default,simple,Categorias/Retrovisores,base,RETROVISOR BMW GS 650/800 PADRAO YAM. DIR/ESQ,"Acabamento com injeção interna,
Retrovisores com articulação por mola,
Pintura eletrostática,
Fixação do espelho por contração , lente plana.
",,0.01,,,,0.55000000,1,"Catálogo, Pesquisa",Taxable Goods,1000,1,,,,,AWA Motos,catalog/products/11012.jpg,catalog/products/11012.jpg,catalog/products/11012.jpg,"catalog/products/11012.jpg,catalog/products/11013.jpg,catalog/products/11845.jpg"
627,Default,simple,Categorias/Retrovisores,base,RETROVISOR BMW GS 650/800 ROTATIVO PADRAO HONDA DIR/ESQ,"O Retrovisor BMW AWA Motos é fabricado cuidando de todos os detalhes. 

A Injeção é interna, assim a capa do retrovisor não tem nenhuma marca, articulação a mola, Pintura eletrostática e Fixação do espelho por contração, isto evita que o espelho fique com folga.

O retrovisor BMW AWA Motos é o completo do mercado.",,0.01,,,,0.52000000,1,"Catálogo, Pesquisa",Taxable Goods,1000,1,,,,,AWA Motos,catalog/products/11014.jpg,catalog/products/11014.jpg,catalog/products/11014.jpg,"catalog/products/11014.jpg,catalog/products/11015.jpg,catalog/products/11846.jpg"
628,Default,simple,Categorias/Retrovisores,base,RETROVISOR BMW GS 650/800 ROTATIVO PADRAO YAM. DIR/ESQ,"O Retrovisor BMW AWA Motos é fabricado cuidando de todos os detalhes. 

A Injeção é interna, assim a capa do retrovisor não tem nenhuma marca, articulação a mola, Pintura eletrostática e Fixação do espelho por contração, isto evita que o espelho fique com folga.

O retrovisor BMW AWA Motos é o completo do mercado.",,0.01,,,,0.52000000,1,"Catálogo, Pesquisa",Taxable Goods,1000,1,,,,,AWA Motos,catalog/products/11016.jpg,catalog/products/11016.jpg,catalog/products/11016.jpg,"catalog/products/11016.jpg,catalog/products/11017.jpg,catalog/products/11847.jpg"
629,Default,simple,Categorias/Retrovisores,base,RETROVISOR PCX 150 PADRAO HONDA DIR/ESQ (ROSCA ESQUERDA),"Acabamento com injeção interna,
Articulação por mola
Pintura eletrostática,
Fixação do espelho por contração.",,0.01,,,,0.45000000,1,"Catálogo, Pesquisa",Taxable Goods,1000,1,,,,,AWA Motos,catalog/products/11018.jpg,catalog/products/11018.jpg,catalog/products/11018.jpg,"catalog/products/11018.jpg,catalog/products/11019.jpg,catalog/products/11849.jpg"
631,Default,simple,Categorias/Retrovisores,base,RETROVISOR SH150I MODELO 2017 PADRAO HONDA DIR/ESQ (ROSCA ESQUERDA),"Acabamento com injeção interna,
Articulação em esfera de aço e conformação a frio,
Ajuste com porca e parafuso,
Pintura eletrostática,
Fixação do espelho por contração.",,0.01,,,,0.41000000,1,"Catálogo, Pesquisa",Taxable Goods,1000,1,,,,,AWA Motos,catalog/products/11022.jpg,catalog/products/11022.jpg,catalog/products/11022.jpg,"catalog/products/11022.jpg,catalog/products/11023.jpg,catalog/products/11851.jpg"
632,Default,simple,Categorias/Retrovisores,base,RETROVISOR MINI TITAN 160 MODELO 2018/2023  PADRAO HONDA DIR/ESQ (ROSCA ESQUERDA),"Acabamento com injeção interna,
Articulação em esfera de aço e conformação a frio,
Ajuste com porca e parafuso,
Pintura eletrostática,
Fixação do espelho por contração.",,0.01,,,,0.32000000,1,"Catálogo, Pesquisa",Taxable Goods,1000,1,,,,,AWA Motos,catalog/products/11490.jpg,catalog/products/11490.jpg,catalog/products/11490.jpg,"catalog/products/11490.jpg,catalog/products/11491.jpg,catalog/products/11492.jpg"
